subjectId	subjectName	domainId	domainName	competencyId	competencyName	learningOutcomeId	learningOutcomeName	indicatorId	indicatorName	difficulty
English	English	Reading with comprehension	Reading with comprehension	Print Awareness and Meaning Making	Print Awareness and Meaning Making	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Identifies lowercase letters a-f using visual and audio cues	Identifies lowercase letters a-f using visual and audio cues	0
English	English	Reading with comprehension	Reading with comprehension	Print Awareness and Meaning Making	Print Awareness and Meaning Making	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Identifies lowercase letters g-l using visual and audio cues.	Identifies lowercase letters g-l using visual and audio cues.	0
English	English	Reading with comprehension	Reading with comprehension	Print Awareness and Meaning Making	Print Awareness and Meaning Making	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Identifies lowercase letters m-s using visual and audio cues.	Identifies lowercase letters m-s using visual and audio cues.	0
English	English	Reading with comprehension	Reading with comprehension	Print Awareness and Meaning Making	Print Awareness and Meaning Making	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Identifies lowercase letters t-z using visual and audio cues.	Identifies lowercase letters t-z using visual and audio cues.	0
English	English	Reading with comprehension	Reading with comprehension	Print Awareness and Meaning Making	Print Awareness and Meaning Making	Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Identifies uppercase letters A-F using visual and audio cues.	Identifies uppercase letters A-F using visual and audio cues.	0.08333333
English	English	Reading with comprehension	Reading with comprehension	Print Awareness and Meaning Making	Print Awareness and Meaning Making	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Identifies uppercase letters G-L using visual and audio cues.	Identifies uppercase letters G-L using visual and audio cues.	0.08333333
English	English	Reading with comprehension	Reading with comprehension	Print Awareness and Meaning Making	Print Awareness and Meaning Making	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Identifies uppercase letters M-S using visual and audio cues.	Identifies uppercase letters M-S using visual and audio cues.	0.08333333
English	English	Reading with comprehension	Reading with comprehension	Print Awareness and Meaning Making	Print Awareness and Meaning Making	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	 Exhibits skills of early literary and print awareness in the class/home. For example- recognizing/reading the wrapper of their favourite toffee or biscuit.	Identifies uppercase letters T-Z using visual and audio cues.	Identifies uppercase letters T-Z using visual and audio cues.	0.08333333
English	English	Writing with purpose	Writing with purpose	Make efforts to write in conventional ways	Make efforts to write in conventional ways	Expresses by drawing symbolic pictures, paying attention to name, figures colours, size, etc. and talks about it.	Expresses by drawing symbolic pictures, paying attention to name, figures colours, size, etc. and talks about it.	Draws basic lines and shapes with control.	Draws basic lines and shapes with control.	0.16666667
English	English	Writing with purpose	Writing with purpose	Make efforts to write in conventional ways	Make efforts to write in conventional ways	 Expresses by drawing symbolic pictures, paying attention to name, figures colours, size, etc. and talks about it.	 Expresses by drawing symbolic pictures, paying attention to name, figures colours, size, etc. and talks about it.	Traces and writes uppercase letters A to F, saying their names aloud, and follows the conventional pattern of letter formation.	Traces and writes uppercase letters A to F, saying their names aloud, and follows the conventional pattern of letter formation.	0.25
